Time (seconds),light
7.75,13397.33
7.76,13397.33
7.76,13397.33
7.77,13397.33
7.79,13306.93
7.79,13306.93
7.80,13306.93
7.80,13321.99
7.81,13321.99
7.81,13306.93
7.81,13306.93
7.82,13321.99
7.82,13321.99
7.83,13306.93
7.83,13321.99
7.83,13321.99
7.84,13321.99
7.84,13321.99
7.85,13321.99
7.85,13321.99
7.85,13321.99
7.86,13321.99
7.88,13337.06
7.89,13321.99
7.89,13321.99
7.89,13337.06
7.90,13337.06
7.90,13337.06
7.91,13337.06
7.91,13337.06
7.91,13337.06
7.92,13337.06
7.92,13337.06
7.93,13337.06
7.93,13337.06
7.93,13337.06
7.94,13337.06
7.94,13352.13
7.95,13337.06
7.95,13337.06
7.97,13337.06
7.98,13337.06
7.98,13337.06
7.99,13337.06
7.99,13337.06
7.99,13337.06
8.00,13337.06
8.00,13352.13
8.01,13337.06
8.01,13337.06
8.01,13337.06
8.02,13126.12
8.02,13126.12
8.03,13126.12
8.03,13141.19
8.03,13141.19
8.04,13126.12
8.04,13126.12
8.05,13126.12
8.07,13126.12
8.07,13126.12
8.08,13126.12
8.08,13126.12
8.09,13111.06
8.09,13126.12
8.09,13126.12
8.10,13111.06
8.10,13111.06
8.11,13111.06
8.11,13111.06
8.11,13111.06
8.12,13126.12
8.12,13111.06
8.13,13111.06
8.13,13111.06
8.13,13111.06
8.14,13111.06
8.16,13111.06
8.17,13095.99
8.17,13095.99
8.17,13095.99
8.18,13111.06
8.18,13111.06
8.19,13095.99
8.19,13095.99
8.19,13111.06
8.20,13095.99
8.20,13111.06
8.21,13111.06
8.21,13111.06
8.21,13111.06
8.22,13111.06
8.22,13126.12
8.23,13126.12
8.23,13111.06
8.25,13126.12
8.26,13126.12
8.26,13126.12
8.27,13111.06
8.27,13126.12
8.28,13126.12
8.28,13126.12
8.29,13126.12
8.29,13126.12
8.29,13126.12
8.30,13126.12
8.30,13126.12
8.31,13126.12
8.31,13126.12
8.31,13126.12
8.32,13126.12
8.32,13126.12
8.33,13126.12
8.35,13141.19
8.35,13141.19
8.36,13141.19
8.36,13156.26
8.37,13156.26
8.37,13156.26
8.37,13156.26
8.38,13156.26
8.38,13156.26
8.39,13171.32
8.39,13156.26
8.39,13156.26
8.40,13171.32
8.40,13156.26
8.41,13156.26
8.41,13171.32
8.41,13171.32
8.42,-123.871
8.42,-443.871
8.45,-443.871
8.45,-443.871
8.45,-443.871
8.46,-454.1935
8.46,-443.871
8.47,-443.871
8.47,-443.871
8.47,-454.1935
8.48,-443.871
8.48,-443.871
8.49,-443.871
8.49,-454.1935
8.49,-443.871
8.50,-443.871
8.50,-443.871
8.51,-443.871
8.51,-454.1935
8.51,-443.871
8.54,-443.871
8.54,-443.871
8.55,-443.871
8.55,-454.1935
8.55,-443.871
8.56,-443.871
8.56,-443.871
8.57,-454.1935
8.57,-443.871
8.57,-443.871
8.58,-443.871
8.58,-443.871
8.59,-443.871
8.59,-443.871
8.59,-443.871
8.60,-443.871
8.60,-443.871
8.61,-443.871
8.63,-443.871
8.63,-443.871
