Time (seconds),x,y,z
7.03,-28,-80,996
7.04,-28,-80,996
7.04,-28,-80,996
7.05,0,-104,976
7.05,0,-104,976
7.07,164,-24,1036
7.08,164,-24,1036
7.08,164,-24,1036
7.09,-36,12,1060
7.09,-36,12,1060
7.09,-36,12,1060
7.10,-36,12,1060
7.10,-36,12,1060
7.11,-12,-60,992
7.11,-12,-60,992
7.12,-12,-60,992
7.13,-12,-72,988
7.13,-12,-72,988
7.14,-12,-72,988
7.15,-28,-52,976
7.17,-12,-68,1008
7.18,-12,-68,1008
7.19,-8,-44,1004
7.19,-8,-44,1004
7.20,-8,-44,1004
7.21,-24,-48,976
7.21,-24,-48,976
7.22,-24,-48,976
7.23,-48,-124,984
7.23,-48,-124,984
7.23,-48,-124,984
7.24,-48,-124,984
7.24,-48,-124,984
7.25,-28,-12,976
7.38,-20,-52,988
7.39,-20,-52,988
7.40,-20,-52,988
7.41,-28,-44,988
7.41,-28,-44,988
7.42,-28,-44,988
7.42,-28,-44,988
7.43,-20,-48,988
7.43,-20,-48,988
7.43,-20,-48,988
7.44,-20,-48,988
7.44,-20,-48,988
7.45,-32,-48,1000
7.45,-32,-48,1000
7.45,-32,-48,1000
7.48,-24,-40,968
7.48,-24,-40,968
7.49,-24,-48,964
7.49,-24,-48,964
7.50,-24,-48,964
7.51,-28,-40,964
7.51,-28,-40,964
7.52,-8,-56,1004
7.53,-8,-56,1004
7.54,-8,-56,1004
7.55,-32,-44,996
7.56,-32,-44,996
7.56,-20,-36,992
7.57,-20,-36,992
7.58,-20,-36,992
7.60,-24,-56,968
7.61,-24,-56,968
7.61,-24,-56,968
7.61,-24,-56,968
7.62,-24,-56,968
7.62,-28,-60,988
7.63,-28,-60,988
7.63,-28,-60,988
7.64,-28,-60,988
7.64,-20,-56,992
7.65,-20,-56,992
7.65,-20,-56,992
7.66,-20,-56,992
7.66,-28,-12,996
7.67,-28,-12,996
7.69,-12,-8,984
7.70,-20,-40,988
7.71,-20,-40,988
7.72,-20,-40,988
7.73,-20,-60,988
7.73,-20,-60,988
7.74,-36,-36,1000
7.75,-36,-36,1000
7.76,-36,-36,1000
7.76,-44,-72,1000
7.77,-44,-72,1000
7.78,-44,-72,1000
7.78,0,-92,972
7.79,0,-92,972
7.79,0,-92,972
7.81,-52,-76,976
7.82,-52,-76,976
7.82,16,-68,996
7.83,16,-68,996
7.83,16,-68,996
7.83,16,-68,996
7.84,16,-68,996
7.84,-16,-40,1012
7.85,-16,-40,1012
7.85,-16,-40,1012
7.86,-16,-40,1012
7.86,-12,-32,996
7.87,-12,-32,996
7.88,-12,-32,996
7.88,-12,-20,996
7.89,-12,-20,996
7.91,-24,-80,996
7.92,-24,-80,996
7.93,-24,-64,984
7.93,-24,-64,984
7.94,-24,-64,984
7.95,-32,-28,992
7.95,-32,-28,992
7.96,-32,-28,992
7.97,-44,32,984
7.97,-44,32,984
7.97,-44,32,984
