Time (seconds),temperature
93.48,33.87096
93.49,34.19355
93.51,34.19355
93.52,33.87096
93.54,34.19355
93.56,33.87096
93.57,33.87096
93.59,33.87096
93.60,33.87096
93.61,33.87096
93.62,33.87096
93.64,33.87096
93.65,33.87096
93.66,33.87096
93.68,34.19355
93.70,34.19355
93.73,34.19355
93.74,33.87096
93.76,33.87096
93.77,34.19355
93.79,33.87096
93.80,34.19355
93.81,33.87096
93.82,33.87096
93.84,33.87096
93.86,33.87096
93.87,33.87096
93.89,33.87096
93.90,33.87096
93.92,33.87096
93.94,33.87096
93.95,33.87096
93.96,33.87096
94.10,33.87096
94.12,33.87096
94.13,33.87096
94.15,34.19355
94.16,33.87096
94.17,33.87096
94.18,33.87096
94.19,33.87096
94.21,33.87096
94.22,33.87096
94.24,33.87096
94.25,34.19355
94.27,33.87096
94.28,33.87096
94.30,34.19355
94.31,33.87096
94.33,33.87096
94.36,33.87096
94.37,33.87096
94.39,33.87096
94.40,33.87096
94.41,33.87096
94.43,33.87096
94.44,33.87096
94.46,33.87096
94.48,33.87096
94.49,33.87096
94.51,33.87096
94.52,33.87096
94.53,33.87096
94.55,33.54839
94.56,33.87096
94.58,33.87096
94.59,33.87096
94.62,33.87096
94.63,33.87096
94.65,33.87096
94.66,33.87096
94.68,33.87096
94.69,33.87096
94.71,33.87096
94.72,33.87096
94.73,33.87096
94.75,33.87096
94.76,33.87096
94.77,33.87096
94.79,33.87096
94.80,33.87096
94.82,33.87096
94.83,33.54839
94.85,33.87096
94.88,33.87096
94.89,33.87096
94.90,33.87096
94.91,33.87096
94.93,33.87096
94.94,33.87096
94.95,33.87096
94.97,33.87096
94.98,33.54839
95.00,33.87096
95.01,33.87096
95.03,33.87096
95.04,33.87096
95.06,33.54839
95.07,33.87096
95.09,33.87096
95.10,33.87096
95.13,33.54839
95.14,33.87096
95.16,33.87096
95.18,33.87096
95.19,33.54839
95.21,33.87096
95.22,33.87096
95.24,33.87096
95.25,33.87096
95.27,33.87096
95.28,33.87096
95.29,33.54839
95.30,33.87096
95.31,33.54839
95.33,33.54839
95.35,33.54839
95.36,33.54839
95.40,33.87096
95.41,33.87096
95.43,33.54839
95.44,33.54839
95.45,33.54839
95.47,33.54839
95.48,33.54839
95.49,33.87096
95.50,33.87096
95.52,33.87096
95.54,33.87096
95.55,33.87096
95.57,33.87096
95.58,33.54839
95.60,33.54839
95.61,33.87096
95.63,33.54839
95.66,33.87096
95.67,33.87096
95.68,33.54839
95.70,33.54839
95.71,33.54839
95.73,33.54839
95.74,33.87096
95.76,33.54839
95.77,33.54839
95.79,33.54839
95.80,33.54839
95.81,33.54839
95.83,33.87096
95.84,33.54839
95.85,33.87096
95.86,33.54839
95.88,33.54839
95.91,33.54839
95.93,33.54839
95.94,33.54839
95.96,33.54839
95.97,33.54839
95.99,33.2258
96.00,33.54839
96.01,33.54839
96.03,33.54839
96.04,33.54839
96.05,33.54839
96.06,33.54839
96.08,33.54839
96.09,33.2258
96.10,33.2258
96.12,33.54839
96.14,33.2258
96.16,33.2258
96.18,33.2258
96.19,33.2258
96.20,33.2258
96.21,33.54839
96.23,33.2258
96.24,33.2258
96.25,33.2258
96.27,33.54839
96.28,33.2258
96.30,33.2258
96.32,33.54839
96.33,33.2258
96.35,33.2258
96.36,33.2258
96.37,33.54839
96.39,33.2258
96.40,33.54839
96.43,33.2258
96.44,33.2258
96.46,33.2258
96.47,33.2258
96.48,33.2258
96.50,33.2258
96.52,33.2258
96.53,33.2258
96.55,33.54839
96.56,33.2258
96.57,33.54839
96.58,33.2258
96.59,33.2258
96.61,33.2258
96.62,33.54839
96.64,33.54839
