Time (seconds),water_level
33.76,22.42857
33.77,20.85714
33.78,19.85714
33.80,18.57143
33.82,17.71428
33.83,16.57143
33.84,15.0
33.87,8.142858
33.89,6.0
33.90,3.857143
33.91,1.142857
33.93,0.0
33.94,0.0
33.95,0.0
33.97,0.0
33.98,0.0
33.99,0.0
34.01,0.0
34.02,0.0
34.03,0.0
34.05,0.0
34.06,0.0
34.07,0.0
34.08,0.0
34.10,0.0
34.11,0.0
34.12,0.0
34.14,0.0
34.15,0.0
34.17,0.0
34.18,0.0
34.21,0.0
34.22,0.0
34.24,0.0
34.25,0.0
34.26,0.0
34.28,0.0
34.29,0.0
34.30,0.0
34.32,0.0
34.33,0.0
34.35,0.0
34.36,0.0
34.38,0.0
34.39,0.0
34.40,0.0
34.41,0.0
34.43,0.0
34.44,0.0
34.45,0.0
34.46,0.0
34.48,0.0
34.49,0.0
34.50,0.0
34.52,0.0
34.53,0.0
34.56,0.0
34.58,0.0
34.59,0.0
34.60,0.0
34.61,0.0
34.63,0.0
34.64,0.0
34.65,0.0
34.66,0.0
34.68,0.0
34.69,0.0
34.70,0.0
34.72,0.0
34.74,0.0
34.75,0.0
34.77,0.0
34.78,0.0
34.79,0.0
34.80,0.0
34.81,0.0
34.83,0.0
34.84,0.0
34.85,0.0
34.86,0.0
34.88,0.0
34.89,0.0
34.92,0.0
34.94,0.0
34.95,0.0
34.97,0.0
34.98,0.0
34.99,0.0
35.00,0.0
35.01,0.0
35.03,0.0
35.04,0.0
35.05,0.0
35.07,0.0
35.08,0.0
35.10,0.0
35.11,0.0
35.13,0.0
35.14,0.0
35.15,0.0
35.17,0.0
35.18,0.0
35.19,0.0
35.20,0.0
35.22,0.0
35.23,0.0
35.24,0.0
35.27,0.0
35.28,0.0
35.30,0.0
35.32,0.0
35.33,0.0
35.34,0.0
35.35,0.0
35.37,0.0
35.38,0.0
35.39,0.0
35.40,0.0
35.42,0.0
35.43,5.285714
35.44,6.142857
35.46,8.428572
35.48,13.0
35.49,12.42857
35.51,12.14286
35.52,12.28571
35.53,12.71429
35.55,15.0
35.56,17.71428
35.59,21.42857
35.61,21.71428
35.62,21.85714
35.64,22.14286
35.66,22.71429
35.67,23.42857
35.69,24.14286
35.70,25.0
35.71,24.85714
35.73,25.0
35.74,25.14286
35.75,25.28572
35.76,25.85714
35.78,26.42857
35.79,27.0
35.80,27.14286
35.82,27.28572
35.83,27.71429
35.98,32.71429
35.99,34.85714
36.01,37.14286
36.02,37.57143
36.04,40.71429
36.06,43.14286
36.07,45.28572
36.09,45.42857
36.10,45.42857
36.11,45.71429
36.12,46.0
36.13,45.71429
36.15,44.57143
36.16,43.85715
36.18,43.57143
36.19,44.0
36.21,45.28572
36.23,47.0
36.25,47.57143
36.26,47.42857
36.28,47.71429
36.29,47.57143
36.30,47.57143
36.31,47.42857
36.33,47.28571
36.34,47.42857
36.35,47.85715
36.37,48.0
36.38,47.42857
36.40,47.14286
36.41,47.57143
36.43,48.0
36.44,48.57143
36.46,48.71429
36.47,48.71429
36.50,49.57143
36.51,50.14286
36.53,50.71429
36.54,51.42857
36.55,52.0
36.57,52.71429
36.58,53.42857
36.60,54.42857
36.61,54.71429
36.63,55.14286
36.64,55.14286
36.66,55.28572
36.67,54.71429
36.68,54.85714
36.69,55.28572
36.71,56.14286
36.72,56.85714
36.74,57.71429
36.77,61.42857
36.78,61.42857
36.80,60.28572
36.82,59.42857
36.83,58.85715
36.85,58.28571
36.86,58.14286
36.87,58.0
36.88,57.85715
36.89,57.71429
36.91,57.28571
36.93,57.14286
36.94,57.28571
36.95,57.14286
36.97,57.0
36.98,56.71429
37.00,56.42857
37.03,58.0
37.04,58.71429
37.05,59.71429
37.07,60.71429
37.08,61.42857
37.10,61.28572
37.11,60.57143
37.12,60.14286
37.14,59.57143
37.16,59.57143
37.17,60.71429
37.19,61.57143
37.20,61.42857
37.22,61.0
37.23,60.57143
37.24,60.57143
37.25,60.42857
37.27,60.42857
37.30,60.28572
37.32,60.71429
37.33,62.28571
37.35,63.0
37.36,62.85715
37.38,62.85715
37.39,63.14286
